,Team,Year,W,L,Pct,Attend,Payroll,OPS,ERA
0,New York Yankees,2019,103,59,0.6358024691358025,3304404,206410000,0.8290000000000001,4.31
1,Tampa Bay Rays,2019,96,66,0.5925925925925926,1178735,68980000,0.757,3.65
2,Boston Red Sox,2019,84,78,0.5185185185185185,2924627,213190000,0.8059999999999999,4.7
3,Toronto Blue Jays,2019,67,95,0.41358024691358025,1750144,66630000,0.733,4.79
4,Baltimore Orioles,2019,54,108,0.3333333333333333,1307807,67370000,0.725,5.59
5,Minnesota Twins,2019,101,61,0.6234567901234568,2294152,113590000,0.8320000000000001,4.18
6,Cleveland Indians,2019,93,69,0.5740740740740741,1738642,107350000,0.7559999999999999,3.76
7,Chicago White Sox,2019,72,89,0.4472049689440994,1649775,96700000,0.728,4.9
8,Kansas City Royals,2019,59,103,0.3641975308641976,1479659,83080000,0.71,5.2
9,Detroit Tigers,2019,47,114,0.2919254658385093,1501430,96240000,0.682,5.24
10,Houston Astros,2019,107,55,0.6604938271604939,2857367,177440000,0.848,3.66
11,Oakland Athletics,2019,97,65,0.5987654320987654,1662211,96830000,0.7759999999999999,3.97
12,Texas Rangers,2019,78,84,0.4814814814814815,2132994,102460000,0.75,5.06
13,Los Angeles Angels,2019,72,90,0.4444444444444444,3019012,167460000,0.746,5.12
14,Seattle Mariners,2019,68,94,0.41975308641975306,1791863,135800000,0.74,4.99
15,Atlanta Braves,2019,97,65,0.5987654320987654,2655100,110530000,0.789,4.19
16,Washington Nationals,2019,93,69,0.5740740740740741,2259781,181400000,0.7959999999999999,4.27
17,New York Mets,2019,86,76,0.5308641975308642,2442532,161870000,0.77,4.24
18,Philadelphia Phillies,2019,81,81,0.5,2727421,172370000,0.746,4.53
19,Miami Marlins,2019,57,105,0.35185185185185186,811302,62910000,0.6729999999999999,4.74
20,St. Louis Cardinals,2019,91,71,0.5617283950617284,3480393,150370000,0.737,3.8
21,Milwaukee Brewers,2019,89,73,0.5493827160493827,2923333,130390000,0.767,4.4
22,Chicago Cubs,2019,84,78,0.5185185185185185,3094865,208200000,0.7829999999999999,4.1
23,Cincinnati Reds,2019,75,87,0.462962962962963,1808685,128820000,0.736,4.18
24,Pittsburgh Pirates,2019,69,93,0.4259259259259259,1491439,65920000,0.741,5.18
25,Los Angeles Dodgers,2019,106,56,0.654320987654321,3974309,152860000,0.81,3.37
26,Arizona Diamondbacks,2019,85,77,0.5246913580246914,2135510,107580000,0.757,4.25
27,San Francisco Giants,2019,77,85,0.4753086419753086,2707760,138030000,0.6940000000000001,4.38
28,Colorado Rockies,2019,71,91,0.4382716049382716,2993244,149340000,0.782,5.56
29,San Diego Padres,2019,70,92,0.4320987654320987,2396399,94430000,0.718,4.6
30,Boston Red Sox,2018,108,54,0.6666666666666666,2895575,235649368,0.792,3.75
31,New York Yankees,2018,100,62,0.6172839506172839,3482855,168541038,0.7809999999999999,3.78
32,Tampa Bay Rays,2018,90,72,0.5555555555555556,1154973,78231049,0.74,3.74
33,Toronto Blue Jays,2018,73,89,0.4506172839506173,2325281,162664502,0.7390000000000001,4.85
34,Baltimore Orioles,2018,47,115,0.2901234567901235,1564192,143600045,0.6890000000000001,5.18
35,Cleveland Indians,2018,91,71,0.5617283950617284,1926701,137346173,0.7659999999999999,3.77
36,Minnesota Twins,2018,78,84,0.4814814814814815,1959197,131374996,0.723,4.5
37,Detroit Tigers,2018,64,98,0.3950617283950617,1856970,129917192,0.68,4.58
38,Chicago White Sox,2018,62,100,0.382716049382716,1608817,72177640,0.703,4.83
39,Kansas City Royals,2018,58,104,0.3580246913580247,1665107,129967987,0.6970000000000001,4.94
40,Houston Astros,2018,103,59,0.6358024691358025,2980549,159529730,0.754,3.11
41,Oakland Athletics,2018,97,65,0.5987654320987654,1573616,68534631,0.764,3.81
42,Seattle Mariners,2018,89,73,0.5493827160493827,2299489,162480174,0.722,4.13
43,Los Angeles Angels,2018,80,82,0.4938271604938271,3020216,174592209,0.726,4.15
44,Texas Rangers,2018,67,95,0.41358024691358025,2107107,144498078,0.722,4.92
45,Atlanta Braves,2018,90,72,0.5555555555555556,2555781,120542785,0.742,3.75
